question_en,question_ko,answer_en,answer_ko,category,ef_factor,created_at,modified_at
What is Hamming Code?,해밍 코드란 무엇인가요?,"In telecommunication, Hamming codes are a family of linear error-correcting codes that generalize the Hamming(7,4)-code, and were invented by Richard Hamming in 1950. Hamming codes can detect up to two-bit errors or correct one-bit errors without detection of uncorrected errors.","통신에서 해밍 코드는 해밍(7,4) 코드를 일반화한 선형 오류 수정 코드 계열로, 1950년 리처드 해밍에 의해 발명되었습니다. 해밍 코드는 수정되지 않은 오류를 감지하지 않고도 최대 2비트 오류를 감지하거나 1비트 오류를 수정할 수 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the square root of 256?,256의 제곱근은 무엇인가요?,16,16,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
2^16,2^16,"65,536","65,536",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Using bitwise operations, how would you test that a number is a power of 2?",비트 단위 연산을 사용하여 숫자가 2의 거듭제곱인지 어떻게 테스트하시겠습니까?,bool isPowerOfTwo = (x & (x - 1);,bool isPowerOfTwo = (x & (x - 1);,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does ELF stand for?,ELF는 무엇을 의미하나요?,"Executable and Linkable Format.
It's a common standard file format for executables, object code, shared libraries, and core dumps.","실행 가능하고 연결 가능한 형식.
실행 파일, 객체 코드, 공유 라이브러리, 코어 덤프를 위한 일반적인 표준 파일 형식입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
example of a latency device,지연 장치의 예,CPU core,CPU 코어,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
example of a throughput device,처리량 장치의 예,GPU core,GPU 코어,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the Hamming Distance?,해밍 거리란 무엇인가요?,A number used to denote the number of differences between two binary strings of the same length.,같은 길이의 두 이진 문자열 간의 차이 수를 나타내는 데 사용되는 숫자입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are the 5 steps of the compiling process?,컴파일 과정의 5단계는 무엇인가요?,"Lexical Analysis
Parsing
Semantic Analysis
Optimization
Code Generation","어휘 분석
구문 분석
의미 분석
최적화
코드 생성",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is parsing?,파싱이란 무엇인가요?,Combining tokens and groups of tokens into a tree structure (a parse tree).,토큰과 토큰 그룹을 트리 구조(파싱 트리)로 결합합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
