id,code,name,parent_id,display_order,depth,created_at,updated_at
1,CS,CS,,1,0,2025-01-01 00:00:00,2025-01-01 00:00:00
2,ENGLISH,영어,,2,0,2025-01-01 00:00:00,2025-01-01 00:00:00
3,SQL,SQL,,3,0,2025-01-01 00:00:00,2025-01-01 00:00:00
4,JAPANESE,일본어,,4,0,2025-01-01 00:00:00,2025-01-01 00:00:00
5,TOEIC,TOEIC,2,1,1,2025-01-01 00:00:00,2025-01-01 00:00:00
6,TOEFL,TOEFL,2,2,1,2025-01-01 00:00:00,2025-01-01 00:00:00
7,JLPT,JLPT,4,1,1,2025-01-01 00:00:00,2025-01-01 00:00:00
8,JLPT_N1,N1,7,1,2,2025-01-01 00:00:00,2025-01-01 00:00:00
9,JLPT_N2,N2,7,2,2,2025-01-01 00:00:00,2025-01-01 00:00:00
10,JLPT_N3,N3,7,3,2,2025-01-01 00:00:00,2025-01-01 00:00:00
11,JLPT_N4,N4,7,4,2,2025-01-01 00:00:00,2025-01-01 00:00:00
12,JLPT_N5,N5,7,5,2,2025-01-01 00:00:00,2025-01-01 00:00:00
