question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
해밍 코드란 무엇인가요?,What is Hamming Code?,"통신에서 해밍 코드는 해밍(7,4) 코드를 일반화한 선형 오류 수정 코드 계열로, 1950년 리처드 해밍에 의해 발명되었습니다. 해밍 코드는 수정되지 않은 오류를 감지하지 않고도 최대 2비트 오류를 감지하거나 1비트 오류를 수정할 수 있습니다.","In telecommunication, Hamming codes are a family of linear error-correcting codes that generalize the Hamming(7,4)-code, and were invented by Richard Hamming in 1950. Hamming codes can detect up to two-bit errors or correct one-bit errors without detection of uncorrected errors.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
256의 제곱근은 무엇인가요?,What is the square root of 256?,16,16,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^16,2^16,"65,536","65,536",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위 연산을 사용하여 숫자가 2의 거듭제곱인지 어떻게 테스트하시겠습니까?,"Using bitwise operations, how would you test that a number is a power of 2?",bool isPowerOfTwo = (x & (x - 1);,bool isPowerOfTwo = (x & (x - 1);,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
ELF는 무엇을 의미하나요?,What does ELF stand for?,"실행 가능하고 연결 가능한 형식.
실행 파일, 객체 코드, 공유 라이브러리, 코어 덤프를 위한 일반적인 표준 파일 형식입니다.","Executable and Linkable Format.
It's a common standard file format for executables, object code, shared libraries, and core dumps.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
지연 장치의 예,example of a latency device,CPU 코어,CPU core,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
처리량 장치의 예,example of a throughput device,GPU 코어,GPU core,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
해밍 거리란 무엇인가요?,What is the Hamming Distance?,같은 길이의 두 이진 문자열 간의 차이 수를 나타내는 데 사용되는 숫자입니다.,A number used to denote the number of differences between two binary strings of the same length.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
컴파일 과정의 5단계는 무엇인가요?,What are the 5 steps of the compiling process?,"어휘 분석
구문 분석
의미 분석
최적화
코드 생성","Lexical Analysis
Parsing
Semantic Analysis
Optimization
Code Generation",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
파싱이란 무엇인가요?,What is parsing?,토큰과 토큰 그룹을 트리 구조(파싱 트리)로 결합합니다.,Combining tokens and groups of tokens into a tree structure (a parse tree).,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
어휘 분석이란 무엇인가요?,What is lexical analysis?,프로그램 텍스트를 단어나 토큰으로 나누는 과정.,The process of dividing program text into words or tokens.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
코드 생성이란 무엇인가요?,What is code generation?,고급 프로그램에서 어셈블리 코드로의 번역을 생성합니다. (Linker와 Archiver가 여기서 기계 코드를 생성합니다.),Producing a translation from a high-level program to assembly code. (Linker and Archiver taker over from here to produce machine code),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
4 * 16,4 * 16,64,64,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2 ^ 4,2 ^ 4,16,16,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^3,2^3,8,8,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^5,2^5,32,32,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^6,2^6,64,64,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^7,2^7,128,128,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^8,2^8,256,256,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^9,2^9,512,512,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^10,2^10,1024,1024,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^11,2^11,2048,2048,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^12,2^12,4096,4096,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^13,2^13,8192,8192,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^14,2^14,"16,384","16,384",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^15,2^15,"32,768","32,768",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
2^32,2^32,"42억 9,400만",4.294 Billion,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위의 char 크기,size of char in bits,8비트,8 bits,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
문자 크기(바이트 단위),size of char in bytes,1바이트,1 byte,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위의 bool 크기,size of bool in bits,8비트,8 bits,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위의 short 크기,size of short in bits,"16비트(최소), 일반적으로 16비트","16 bits (at least), and 16 commonly",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
바이트 단위의 short 크기,size of short in bytes,"2바이트, 일반적으로 2바이트","2 bytes, and 2 bytes commonly",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
size of int in bits,size of int in bits,"일반적으로 32비트, 최소 16비트","32 bits commonly, at least 16 bits",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
size of int in bytes,size of int in bytes,"일반적으로 4바이트, 최소 2바이트","4 bytes commonly, at least 2 bytes",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위의 long 크기,size of long in bits,"32(최소, 일반적으로 32), 64(LP64)","32 (at least, 32 commonly), 64 on LP64",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
바이트 단위의 long 크기,size of long in bytes,"4바이트, (최소 4바이트, 일반적으로 4바이트), LP64에서 8바이트","4 bytes, (at least 4, and commonly 4), 8 on LP64",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위로 long long의 크기,size of long long in bits,64비트,64 bits,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
바이트 단위로 long 크기,size of long long in bytes,8바이트,8 bytes,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위 플로트 크기,size of float in bits,32비트,32 bits,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
플로트 크기(바이트),size of float in bytes,4바이트,4 bytes,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위의 두 배 크기,size of double in bits,64비트,64 bits,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
바이트 단위의 두 배 크기,size of double in bytes,8바이트,8 bytes,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위 wchar_t 크기,size of wchar_t in bits,16비트,16 bits,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
바이트 단위의 wchar_t 크기,size of wchar_t in bytes,2바이트,2 bytes,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
크기가 n인 완전 이진 트리의 레벨은 몇 개인가요?,How many levels in a complete binary tree of size n?,바닥(1 + log(base2)(n)),floor(1 + log(base2)(n)),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
힙을 선형 시간 내에 빌드하려면 어떻게 해야 하나요?,How can build heap be done in linear time?,"크기 n개의 노드를 가진 트리는 높이가 >= h인 바닥(n/2^h)개의 노드를 가질 것입니다.
노드의 마지막 절반은 리프가 되므로 이미 힙 속성을 만족합니다. 노드에 대한 작업을 수행할 필요가 없습니다.
상향식으로 올라가며(마지막 n/2 항목은 무시하고) 힙 속성을 한 번에 한 단계씩 만족시킵니다. 트리 위로 올라가는 각 레벨은 트리 아래 레벨보다 최대 1개 이상의 연산을 수행해야 합니다. 하지만 트리 위로 올라갈수록 더 높은 레벨의 노드 수가 줄어들어 더 많은 연산을 수행할 수 있지만, 이는 더 적은 횟수에 발생합니다.
이것은 시리즈와 비슷합니다:

n/2 - 높이 1: 작업 1
n/4 - 높이 2: 2 작동
n/8 - 높이 3: 3단계 작업
...
바닥으로 가기(n/2^h) - 높이 h: h 작업

n * (1/2 + 2/4 + 3/8 + 4/16 ....) = n * 1 = n","A tree of size n nodes, will have floor(n/2^h) nodes with height >= h.
The last half of nodes will be leaves, so they already satisfy the heap property. No work needs to be done on them.
going bottom-up (ignoring the last n/2 items) and satisfying the heap property one level at a time, each level going up the tree has to do at most 1 operation more than the level below it. But as you go up the tree, higher levels have fewer nodes, so you may be doing more operations, but it happens on fewer number of times.
This resembles a series:

n/2 - height 1: 1 operations
n/4 - height 2: 2 operation
n/8 - height 3: 3 operations
...
going to floor(n/2^h) - height h: h operations

n * (1/2 + 2/4 + 3/8 + 4/16 ....) = n * 1 = n",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
대기열은 보통 어떻게 구현되나요?,How are queues usually implemented?,원형 배열 또는 단일 링크 목록 사용.,Using a Circular Array or Singly Linked List.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
데크는 보통 어떻게 구현되나요?,How is a deque usually implemented?,원형 배열 또는 이중 링크 목록 사용하기.,Using a Circular Array or Doubly Linked List.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 단위 연산만을 사용하여 2개의 정수를 어떻게 교환하시겠습니까?,How would you swap 2 integers using only bitwise operations?,"a ^ = b
b ^ = a
a ^ = b","a ^= b
b ^= a
a ^= b",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 문자열에서 끝에서 세 번째 비트를 어떻게 켜시겠습니까?,How would you turn ON the 3rd bit from the end in a bitstring?,x |= (1 < < 2),x |= (1 << 2),2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
비트 문자열에서 끝에서 세 번째 비트를 어떻게 끄시겠습니까?,How would you turn OFF the 3rd bit from the end in a bitstring?,x &= ~(1 << 2);,x &= ~(1 << 2);,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Binary Search Tree란 무엇인가요?,What is a Binary Search Tree?,"이진 트리는 각 노드가 비교 가능한 키를 가지고 있으며, 해당 노드의 키가 해당 노드의 왼쪽 하위 트리에 있는 모든 노드의 키보다 크고 해당 노드의 오른쪽 하위 트리에 있는 모든 노드의 키보다 작다는 제한을 만족하는 데이터 구조입니다.",A binary tree is a data structure where each node has a comparable key and satisfies the restriction that the key in any node is larger than the keys in all nodes in that node's left subtree and smaller than the keys in all nodes in that node's right subtree.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
AVL Tree란 무엇인가요?,What is an AVL tree?,각 노드의 높이와 형제 노드의 높이가 최대 1씩 다른 BST입니다.,A BST where the height of every node and that of its sibling differ by at most 1.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
Red-Black Tree란 무엇인가요?,What is a red-black tree?,"빨간색과 검은색 링크가 만족하는 BST:
- 빨간색 링크가 왼쪽으로 기울어져 있습니다
- 두 개의 링크가 연결된 노드는 없습니다
- 나무는 완벽한 블랙 밸런스를 가지고 있습니다. 루트에서 널 링크까지의 모든 경로는 동일한 수의 블랙을 가지고 있습니다","BSTs having red and black links satisfying:
- Red links lean left
- No node has two links connected to it
- The tree has perfect black balance: every path from the root to a null link has the same number of blacks",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
플레이 트리란 무엇인가요?,What is a splay tree?,최근에 접근한 요소들이 다시 빠르게 접근할 수 있도록 루트로 이동하는 자동 조정 Binary Search Tree입니다.,A self-adjusting binary search tree where recently accessed elements are moved to the root so they are quick to access again.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
트랩이란 무엇인가요?,What is a treap?,"모든 키에 무작위 우선순위가 할당되며 두 가지 속성을 유지해야 합니다:
-그들은 일반적인 Binary Search Tree에서처럼 키에 대해 순서대로 배열되어 있습니다
-우선순위에 따라 힙 순서대로 정렬됩니다. 즉, 어떤 키도 우선순위가 낮은 키를 조상으로 사용하지 않습니다
O(로그 N) 모든 작업에 대한 예상 시간, O(N) 최악의 경우.","A random priority is assigned to every key and must maintain two properties:
-They are in order with respect to their keys, as in a typical binary search tree
-They are in heap order with respect to their priorities, that is, no key has a key of lower priority as an ancestor
O(log N) expected time for all operations, O(N) worst case.",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
일반적인 캐시 라인 크기는 무엇인가요?,What is typical cache line size?,"64바이트.

-- 아래 추가 --

크기를 알기 위해서는 프로세서에 대한 설명서를 사용하여 이를 확인해야 합니다. 프로그램적인 방법이 없기 때문입니다. 그러나 긍정적인 측면에서는 대부분의 캐시 라인이 인텔 표준에 기반한 표준 크기입니다. 그러나 x86 캐시 라인은 64바이트이지만, 잘못된 공유를 방지하기 위해 목표로 하는 프로세서의 지침을 따라야 합니다(인텔은 넷버스트 기반 프로세서에 몇 가지 특별한 메모를 가지고 있습니다). 일반적으로 이를 위해 64바이트에 맞춰야 합니다(인텔은 16바이트 경계를 넘지 않아야 한다고 명시하고 있습니다).

C 또는 C++에서 이 작업을 수행하려면 aligned_malloc 또는 __attribute_(((align(64)) 또는 __declspec(align(64))과 같은 컴파일러 특정 지정자 중 하나를 사용해야 합니다. 구조 내의 구성원들 사이를 다른 캐시 라인으로 분할하기 위해 패드를 사용하려면, 다음 64바이트 바운더리에 정렬할 수 있을 만큼 큰 구성원을 삽입해야 합니다","64 bytes.

-- extra below --

To know the sizes, you need to look it up using the documentation for the processor, afaik there is no programatic way to do it. On the plus side however, most cache lines are of a standard size, based on intels standards. On x86 cache lines are 64 bytes, however, to prevent false sharing, you need to follow the guidelines of the processor you are targeting (intel has some special notes on its netburst based processors), generally you need to align to 64 bytes for this (intel states that you should also avoid crossing 16 byte boundries).

To do this in C or C++ requires that you use aligned_malloc or one of the compiler specific specifiers such as __attribute__((align(64))) or __declspec(align(64)). To pad between members in a struct to split them onto different cache lines, you need on insert a member big enough to align it to the next 64 byte boundery",2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
지연 시간이란 무엇인가요?,What is latency?,지연 시간은 시스템 입력에서 원하는 결과로 지연되는 시간을 말합니다. 자극과 반응 사이의 시간 간격입니다.,Latency is the delay from input into a system to desired outcome. The time interval between between a stimulus and response.,2.5,1,2026-02-02 13:11:01,2026-02-02 13:11:01
