question,question_sub,answer,answer_sub,ef_factor,category_id,created_at,modified_at
ああ,ああ,"아, 아이고, 아유","Ah!, Oh!",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
会う,あう,"만나다, 어울리다","to meet, to see",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
青,あお,"파란색, 파랑",blue,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
青い,あおい,"파랗다, 푸르다",blue,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
赤,あか,빨강,red,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
赤い,あかい,"빨갛다, 붉다",red,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
明るい,あかるい,"밝다, 환하다, 업 비트",bright (in reference to personality or weather); cheerful,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
秋,あき,가을,fall (season),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
開く,あく,"열다, 열리다, 벌이다","to open, to become open",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
開ける,あける,"열다, 벌리다, 뜨다",to open (v.t.),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
上げる,あげる,"올리다, 주다","to raise, to lift",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
朝,あさ,아침,morning,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
朝御飯,あさごはん,아침 식사,breakfast,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
明後日,あさって,"모레, 명후일",day after tomorrow,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
足; 脚,あし,"발, 다리",foot; leg,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
明日,あした,"어제, 내일",tomorrow,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
あそこ,あそこ,"저곳, 저기, 그곳","there, over there, that place",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
遊ぶ,あそぶ,놀다,to play; to spend time pleasantly; to hang out,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
暖かい,あたたかい,"따뜻하다, 따듯하다, 따스하다",warm,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
頭,あたま,"머리, 골치, 고개",head,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
新しい,あたらしい,"새롭다, 새",new,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
あちら,あちら,저쪽,this way (polite),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
暑い,あつい,덥다,"hot (in reference to weather), warm",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
熱い,あつい,"뜨겁다, 화끈하다",hot (objects),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
厚い,あつい,두껍다,"kind, warm(hearted), thick, deep",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
あっち,あっち,"저기, 저쪽, 저리",over there,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
後,あと,"뒤, 뒤쪽, 다음",afterwards (later); in the future; the rest; since then,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
あなた,あなた,"당신, 여보",you,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
兄,あに,"형, 오빠",(my) older brother (humble),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
姉,あね,"손윗누이, 누나, 언니",(my) older sister (humble),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
アパート,アパート,"아파트, 연립주택, 임대주택",apartment (abbr.),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
あの,あの,"저, 그","that over there; like that, that way; um...",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
浴びる,あびる,"뒤집어 쓰다, 쬐다, 받다","to bathe, to shower",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
危ない,あぶない,"위험하다, 위태롭다, 촉 초","dangerous, critical",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
甘い,あまい,"달다, 달콤하다","generous, sweet",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
余り,あまり,"여분, 나머지",not very; surplus,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
雨,あめ,비,rain,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
飴,あめ,"엿, 사탕",(hard) candy,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
洗う,あらう,"씻다, 빨다",to wash,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
在る,ある,존재한다,"to be, to have",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
有る,ある,있다,"to be, to have",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
歩く,あるく,"걷다, 두 배, 임금 배액불",to walk,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
あれ,あれ,"어라, 저것, 그것",that one (over there),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
いい; よい,いい; よい,"좋다, 됐다, 되다",good,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
いいえ,いいえ,"아니오, 아니요, 아뇨","no, not at all",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
言う,いう,"말하다, 이야기하다, 부르다",to say,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
家,いえ,"집, 집안","house, home",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
いかが,いかが,"어떻게, 어떨까","how, in what way",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
行く,いく; ゆく,"가다, 정지궤도환경위성, 구스",to go,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
いくつ,いくつ,"몇, 몇 개, 몇 살","how many, how old",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
いくら,いくら,"얼마, 아무리","how much, how many",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
池,いけ,"연못, 못",pond,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
医者,いしゃ,"의사, 의학박사",doctor; physician,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
椅子,いす,의자,chair,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
忙しい,いそがしい,바쁘다,"busy (people, days)",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
痛い,いたい,아프다,hurt; painful; sore,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
一,いち,"하나, 일, 한",one,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
一日,いちにち,"하루, 일일, 초하루",one day (duration),2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
一番,いちばん,"가장, 일번, 일등","best (most), first, number one",2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
いつ,いつ,언제,when,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
五日,いつか,"닷새, 오 일",five days; fifth day of the month,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
一緒,いっしょ,"한 곳, 두 사람 이상이 행동을 같이 함, 함께 함",together,2.5,12,2026-02-03 14:42:40,2026-02-03 14:42:40
